id,name,names_in_dataset,all_names_in_cluster,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
4bfd8cda-553c-4340-ae04-efcd2c6c87f5,Columbina inca,Columbina inca,Columbina inca; Scardafella inca,1,Taxon concept 8cd1c9ba-1f27-4165-95d4-41b7789a5d26 containing 'Scardafella inca' and 'Columbina inca' found between 1886 to 2017 in 4 datasets (part of name cluster 4bfd8cda-553c-4340-ae04-efcd2c6c87f5),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Inca Dove,321; 559,Columbidae,Colombe inca,Columbina,Columbiformes,species,Columbina inca; Scardafella inca,Columbina inca,NA,NA,NA,NA,NA,NA,NA
9de261bb-90e4-4de7-91f6-2f4fb5c6226c,Chlidonias leucopterus,Chlidonias leucopterus,Hydrochelidon leucoptera; Chlidonias leucoptera; Chlidonias leucopterus,1,Taxon concept 9a8280a9-90d1-48d3-ae08-df05087fd47b containing 'Hydrochelidon leucoptera' and 'Chlidonias leucoptera' and 'Chlidonias leucopterus' found between 1886 to 2017 in 8 datasets (part of name cluster 9de261bb-90e4-4de7-91f6-2f4fb5c6226c),added -> rename -> referenced -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,White-winged Tern,498; [78],Laridae,Guifette leucoptère,Chlidonias,Charadriiformes,species,Hydrochelidon leucoptera; Chlidonias leucopterus,Chlidonias leucopterus,A,NA,NA,NA,NA,NA,Sterninae
5fc1903d-03a2-4882-8b74-b08eb23a45c3,Atticora tibialis,Atticora tibialis,Atticora tibialis; Neochelidon tibialis,1,Taxon concept 4bbc90d2-fd5b-4642-93c3-024915f95112 containing 'Atticora tibialis' and 'Neochelidon tibialis' found between 1983 to 2017 in 3 datasets (part of name cluster 5fc1903d-03a2-4882-8b74-b08eb23a45c3),added -> rename -> referenced,added -> referenced,,aou_6 (1983),1983,Formerly placed in Neochelidon.,White-thighed Swallow,1325,Hirundinidae,Hirondelle à cuisses blanches,Atticora,Passeriformes,species,NA,Atticora tibialis,NA,NA,NA,NA,NA,NA,Hirundininae
bcefc0db-9ab1-43f4-850b-9a3251748281,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus,1,Taxon concept f25f203e-1d1a-4512-945e-3a3bc5735fe2 containing 'Manacus vitellinus' found between 1983 to 2017 in 2 datasets (part of name cluster bcefc0db-9ab1-43f4-850b-9a3251748281),added -> referenced,added -> referenced,,aou_6 (1983),1983,NA,Golden-collared Manakin,1215,Pipridae,Manakin à col d'or,Manacus,Passeriformes,species,NA,Manacus vitellinus,NA,NA,NA,NA,NA,NA,Piprinae
288c5e4b-b783-499e-a9df-7b3aeca6e9a2,Stelgidopteryx ruficollis,Stelgidopteryx ruficollis,Stelgidopteryx ruficollis,2,Taxon concept 2ebb2624-b158-4bc8-926d-3ad4e3767d70 containing 'Stelgidopteryx ruficollis' found between 1931 in 1 datasets (part of name cluster 288c5e4b-b783-499e-a9df-7b3aeca6e9a2); Taxon concept dc8b57d5-ec78-4fa4-b03b-cc34d2279a5b containing 'Stelgidopteryx ruficollis' found between 1931 to 2017 in 4 datasets (part of name cluster 288c5e4b-b783-499e-a9df-7b3aeca6e9a2),lump -> deleted -> added -> referenced,lump -> deleted -> added -> referenced,lump,aou_4 (1931),1931,NA,Southern Rough-winged Swallow,1327,Hirundinidae,Hirondelle à gorge rousse,Stelgidopteryx,Passeriformes,species,NA,Stelgidopteryx ruficollis,NA,NA,NA,NA,NA,NA,Hirundininae
71983585-4540-41fa-b72b-c2577af5e315,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,Phalaenoptilus nuttalli; Phalaenoptilus nuttallii,1,Taxon concept 61c1f233-542a-4271-937e-3e92a5b2d9bf containing 'Phalaenoptilus nuttalli' and 'Phalaenoptilus nuttallii' found between 1886 to 2017 in 8 datasets (part of name cluster 71983585-4540-41fa-b72b-c2577af5e315),added -> referenced -> rename -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Common Poorwill,712; 418,Caprimulgidae,Engoulevent de Nuttall,Phalaenoptilus,Caprimulgiformes,species,Phalaenoptilus nuttalli; Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,NA,NA,NA,NA,NA,NA,Caprimulginae
bb75f1ff-3b87-4620-8a5e-fe2c55b9aef2,Nesotriccus ridgwayi,Nesotriccus ridgwayi,Nesotriccus ridgwayi,1,Taxon concept e6431c3b-ccc0-423a-89d2-e3c7b234dd15 containing 'Nesotriccus ridgwayi' found between 1983 to 2017 in 2 datasets (part of name cluster bb75f1ff-3b87-4620-8a5e-fe2c55b9aef2),added -> referenced,added -> referenced,,aou_6 (1983),1983,Monotypic.,Cocos Flycatcher,1075,Tyrannidae,Tyranneau de Cocos,Nesotriccus,Passeriformes,species,NA,Nesotriccus ridgwayi,NA,NA,NA,NA,NA,NA,Elaeniinae
21f6af31-8835-45e0-bc43-2c44ad9a16b3,Icterus icterus,Icterus icterus,Icterus icterus,2,Taxon concept e0d29ec8-e70c-4156-8e2b-51414b735fc6 containing 'Icterus icterus' found between 2008 to 2017 in 2 datasets (part of name cluster 21f6af31-8835-45e0-bc43-2c44ad9a16b3); Taxon concept 1e53d269-fb69-4028-864c-8b87347b359e containing 'Icterus icterus' found between 1886 to 2008 in 4 datasets (part of name cluster 21f6af31-8835-45e0-bc43-2c44ad9a16b3),added -> deleted -> added -> split -> referenced,added -> deleted -> added -> split -> referenced,split,aou_1.csv (1886),1886,NA,Venezuelan Troupial,1809; [502],Icteridae,Oriole troupiale,Icterus,Passeriformes,species,Icterus icterus,Icterus icterus,NA,NA,NA,I,NA,NA,NA
3f96313d-31c2-4ccc-9e6f-27fa5d75faad,Micrastur ruficollis,Micrastur ruficollis,Micrastur ruficollis,1,Taxon concept c4b2eefb-bb65-4da3-9121-bf38edd492a4 containing 'Micrastur ruficollis' found between 1983 to 2017 in 2 datasets (part of name cluster 3f96313d-31c2-4ccc-9e6f-27fa5d75faad),added -> referenced,added -> referenced,,aou_6 (1983),1983,NA,Barred Forest-Falcon,314,Falconidae,Carnifex barré,Micrastur,Falconiformes,species,NA,Micrastur ruficollis,NA,NA,NA,NA,NA,NA,Herpetotherinae
597b6521-845c-43b9-9ca4-bf12cdc1601b,Anas acuta,Anas acuta,Anas acuta; Dafila acuta,2,Taxon concept 63d04020-27c4-4c29-a649-307fa7c20f85 containing 'Dafila acuta' and 'Anas acuta' found between 1886 to 1997 in 7 datasets (part of name cluster 597b6521-845c-43b9-9ca4-bf12cdc1601b); Taxon concept d205a483-8d22-4edb-83e9-f0d45b0de69b containing 'Anas acuta' found between 1997 to 2017 in 3 datasets (part of name cluster 597b6521-845c-43b9-9ca4-bf12cdc1601b),added -> referenced -> rename -> referenced -> referenced -> referenced -> split -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> split -> referenced -> referenced,split,aou_1.csv (1886),1886,"Recognized as a monotypic by AOU (1957), Clements (2000), and Howard and Moore (2003). Subspecies <i>Anas acuta acuta, A. a. eatoni</i>, and <i>A. a. ...",Northern Pintail,143; 46,Anatidae,Canard pilet,Anas,Anseriformes,species,Anas acuta; Dafila acuta,Anas acuta,NA,NA,NA,NA,NA,NA,Anatinae
