index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
297,split,Charadrius alexandrinus,"Charadrius alexandrinus, Charadrius nivosus",aou_7_52 (2011),2011,"Charadrius alexandrinus -> Charadrius alexandrinus + Charadrius nivosus [split, aou_7_52 (2011)]","Charadrius alexandrinus + Charadrius nivosus -> Charadrius alexandrinus [lump, aou_4_19 (1944)]",1,yes,no,"Charadrius alexandrinus + Charadrius nivosus -> Charadrius alexandrinus [lump, aou_4_19 (1944)]","lump (1944) -> split (2011) [starting with change Charadrius alexandrinus + Charadrius nivosus -> Charadrius alexandrinus [lump, aou_4_19 (1944)]]",1,yes,no
298,split,Puffinus lherminieri,"Puffinus subalaris, Puffinus lherminieri",aou_7_53 (2012),2012,"Puffinus lherminieri -> Puffinus subalaris + Puffinus lherminieri [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
299,split,Synthliboramphus hypoleucus,"Synthliboramphus hypoleucus, Synthliboramphus scrippsi",aou_7_53 (2012),2012,"Synthliboramphus hypoleucus -> Synthliboramphus hypoleucus + Synthliboramphus scrippsi [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
300,split,Buteo nitidus,"Buteo plagiatus, Buteo nitidus",aou_7_53 (2012),2012,"Buteo nitidus -> Buteo plagiatus + Buteo nitidus [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
301,split,Arremon torquatus,"Arremon atricapillus, Arremon costaricensis, Arremon torquatus",aou_7_53 (2012),2012,"Arremon torquatus -> Arremon atricapillus + Arremon costaricensis + Arremon torquatus [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
302,lump,"Basileuterus culicivorus, Basileuterus hypoleucus",Basileuterus culicivorus,aou_7_53 (2012),2012,"Basileuterus culicivorus + Basileuterus hypoleucus -> Basileuterus culicivorus [lump, aou_7_53 (2012)]",,0,no,no,,,0,no,no
303,split,Artemisiospiza belli,"Artemisiospiza belli, Artemisiospiza nevadensis",aou_7_54 (2013),2013,"Artemisiospiza belli -> Artemisiospiza belli + Artemisiospiza nevadensis [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
304,split,Puffinus assimilis,"Puffinus assimilis, Puffinus baroli",aou_7_54 (2013),2013,"Puffinus assimilis -> Puffinus assimilis + Puffinus baroli [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
305,split,Myrmeciza immaculata,"Myrmeciza zeledoni, Myrmeciza immaculata",aou_7_54 (2013),2013,"Myrmeciza immaculata -> Myrmeciza zeledoni + Myrmeciza immaculata [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
306,split,Schiffornis turdina,"Schiffornis stenorhyncha, Schiffornis veraepacis, Schiffornis turdina",aou_7_54 (2013),2013,"Schiffornis turdina -> Schiffornis stenorhyncha + Schiffornis veraepacis + Schiffornis turdina [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
307,lump,"Thalurania fannyi, Thalurania colombica",Thalurania colombica,aou_7_54 (2013),2013,"Thalurania fannyi + Thalurania colombica -> Thalurania colombica [lump, aou_7_54 (2013)]","Thalurania colombica -> Thalurania ridgwayi + Thalurania fannyi + Thalurania colombica [split, aou_6_39 (1993)]",1,yes,no,,,0,no,no
308,split,Automolus rubiginosus,"Automolus rubiginosus, Automolus rufipectus",aou_7_54 (2013),2013,"Automolus rubiginosus -> Automolus rubiginosus + Automolus rufipectus [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
309,split,Dendrocincla fuliginosa,"Dendrocincla fuliginosa, Dendrocincla turdina",aou_7_54 (2013),2013,"Dendrocincla fuliginosa -> Dendrocincla fuliginosa + Dendrocincla turdina [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
