name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Chen hyperborea,"Chen hyperboreus, Chen hyperborea, Chen hyperborea nivalis",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_32 (1973),1886; 1909; 1910; 1931; 1973,yes,no
Abeillia abeillei,Abeillia abeillei,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Granatellus sallaei,Granatellus sallaei,1,Dataset aou_6 (1983); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2009; 2017,no,yes
Myiarchus panamensis,Myiarchus panamensis,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Falco deiroleucus,Falco deiroleucus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Hemithraupis flavicollis,Hemithraupis flavicollis,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Cranioleuca vulpina,Cranioleuca vulpina,1,Dataset aou_6 (1983); Dataset aou_7_56 (2015),1983; 2015,no,no
Morus bassanus,"Morus bassanus, Sula bassanus, Moris bassana, Sula bassana",4,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4_22 (1947); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_37 (1989); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1947; January 1982; February 1982; 1989; 2017,yes,yes
Gallinula galeata,Gallinula galeata,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_3_16 (1912); Dataset aou_3_18 (1923); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1912; 1923; 2011; 2017,yes,yes
Leptotila cassinii,"Leptotila cassinii, Leptotila cassini",2,Dataset aou_6 (1983); Dataset aou_6_37 (1989); Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1989; 2015; 2017,no,yes
