id,name,names_in_dataset,all_names_in_cluster,name_cluster_id,starts_with,ends_with,is_ongoing,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
a9b67cb0-89e8-4e6e-a2bc-529135927652,Geothlypis beldingi,Geothlypis beldingi,Geothlypis beldingi,60c0e1be-089f-496e-b4da-fbe42f8d3dfd,added Geothlypis beldingi,,no,aou_1.csv (1886),1886,NA,Belding's Yellowthroat,682; 1588,Parulidae,Paruline de Belding,Geothlypis,Passeriformes,species,Geothlypis beldingi,Geothlypis beldingi,NA,NA,NA,NA,NA,NA,NA
7693bccc-aa7a-459b-b3ac-22b771b99f76,Setophaga occidentalis,Setophaga occidentalis,Setophaga occidentalis; Dendroica occidentalis,72da3195-51c3-43c4-906f-6d6caf42c1f6,added Dendroica occidentalis,,no,aou_1.csv (1886),1886,Monotypic.,Hermit Warbler,1555; 669,Parulidae,Paruline à tête jaune,Setophaga,Passeriformes,species,Dendroica occidentalis,Setophaga occidentalis,NA,NA,NA,NA,NA,NA,NA
b543cdec-deea-4636-a542-ec04eafdd6e3,Surnia ulula,Surnia ulula,Surnia ulula caparoch; Surnia ulula,3003f7db-8c44-4131-a78c-360d6b863869,added Surnia ulula; added Surnia ulula caparoch,,no,aou_1.csv (1886),1886,NA,Northern Hawk Owl,683; 377a; [377],Strigidae,Chouette épervière,Surnia,Strigiformes,species,Surnia ulula caparoch; Surnia ulula,Surnia ulula,NA,NA,NA,NA,NA,NA,NA
0a8775a2-f5c5-4df4-a10e-6bc90853f242,Callipepla gambelii,Callipepla gambelii,Lophortyx gambeli; Callipepla gambeli; Callipepla gambelii; Lophortyx gambelii,4816d42d-4696-4dd6-82ca-d87b95a86784,added Callipepla gambeli,,no,aou_1.csv (1886),1886,NA,Gambel's Quail,295; 120,Odontophoridae,Colin de Gambel,Callipepla,Galliformes,species,Callipepla gambeli; Callipepla gambelii,Callipepla gambelii,NA,NA,NA,NA,NA,NA,NA
139e8a56-7909-482c-90da-ea8cf6a8c712,Calcarius lapponicus,Calcarius lapponicus,Calcarius lapponicus,4259bedc-968c-439a-919b-5795fa5ecd23,added Calcarius lapponicus,,no,aou_1.csv (1886),1886,NA,Lapland Longspur,1733; 536,Calcariidae,Plectrophane lapon,Calcarius,Passeriformes,species,Calcarius lapponicus,Calcarius lapponicus,NA,NA,NA,NA,NA,NA,NA
6ba35f2e-f070-4f23-a01b-57b702e0ccc9,Zonotrichia leucophrys,Zonotrichia leucophrys,Zonotrichia leucophrys,acc88f76-3683-4501-bc59-dc3473321ce5,added Zonotrichia leucophrys,,no,aou_1.csv (1886),1886,NA,White-crowned Sparrow,554; 1728,Emberizidae,Bruant à couronne blanche,Zonotrichia,Passeriformes,species,Zonotrichia leucophrys,Zonotrichia leucophrys,NA,NA,NA,NA,NA,NA,NA
0b543554-3d6f-49cc-a5ed-6d1a1e04b055,Vireo huttoni,Vireo huttoni,Vireo huttoni stephensi; Vireo huttoni,15a024f9-d945-42df-8a16-5a5697407514,added Vireo huttoni stephensi; added Vireo huttoni,,no,aou_1.csv (1886),1886,NA,Hutton's Vireo,632; 632a; 1252,Vireonidae,Viréo de Hutton,Vireo,Passeriformes,species,Vireo huttoni stephensi; Vireo huttoni,Vireo huttoni,NA,NA,NA,NA,NA,NA,NA
789e8c36-7808-4297-8cc0-f20d58537332,Troglodytes cobbi,Troglodytes cobbi,Troglodytes cobbi,da52b1e3-2b97-4417-83f7-dc78055b938b,"Troglodytes aedon -> Troglodytes cobbi + Troglodytes aedon [split, aou_7_54 (2013)]",,no,aou_7_54 (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
789e8c36-7808-4297-8cc0-f20d58537332,Troglodytes cobbi,Troglodytes cobbi,Troglodytes cobbi,da52b1e3-2b97-4417-83f7-dc78055b938b,"Troglodytes aedon -> Troglodytes cobbi + Troglodytes aedon [split, aou_7_54 (2013)]",,no,aou_7_54 (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2cad9d39-b0b0-4494-ad21-db9696a6b32f,Picoides borealis,Picoides borealis,Dryobates borealis; Dendrocopos borealis; Picoides borealis,26687be8-bf45-4e57-af39-4664724f6b24,added Dryobates borealis,,no,aou_1.csv (1886),1886,Monotypic.,Red-cockaded Woodpecker,967; 395,Picidae,Pic à face blanche,Picoides,Piciformes,species,Dryobates borealis; Picoides borealis,Picoides borealis,NA,NA,NA,NA,NA,NA,Picinae
