index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,perfect_reversions,perfect_reversions_summary,perfect_reversion_count,perfectly_reverts_a_previous_change,perfectly_reverts_a_later_change
199,split,Picoides tridactylus,"Picoides dorsalis, Picoides tridactylus",aou_7_44 (2003),2003,"Picoides tridactylus -> Picoides dorsalis + Picoides tridactylus [split, aou_7_44 (2003)]",,0,no,no,,,0,no,no
200,lump,"Butorides striatus, Butorides sundevalli",Butorides striatus,aou_7_44 (2003),2003,"Butorides striatus + Butorides sundevalli -> Butorides striatus [lump, aou_7_44 (2003)]",,0,no,no,,,0,no,no
201,split,Motacilla flava,"Motacilla flava, Motacilla tschutschensis",aou_7_45 (2004),2004,"Motacilla flava -> Motacilla flava + Motacilla tschutschensis [split, aou_7_45 (2004)]",,0,no,no,,,0,no,no
202,split,Branta canadensis,"Branta canadensis, Branta hutchinsii",aou_7_45 (2004),2004,"Branta canadensis -> Branta canadensis + Branta hutchinsii [split, aou_7_45 (2004)]",,0,no,no,,,0,no,no
203,lump,"Motacilla alba, Motacilla lugens",Motacilla alba,aou_7_46 (2005),2005,"Motacilla alba + Motacilla lugens -> Motacilla alba [lump, aou_7_46 (2005)]",,0,no,no,,,0,no,no
204,split,Calonectris diomedea,"Calonectris edwardsii, Calonectris diomedea",aou_7_47 (2006),2006,"Calonectris diomedea -> Calonectris edwardsii + Calonectris diomedea [split, aou_7_47 (2006)]",,0,no,no,,,0,no,no
205,split,Dendragapus obscurus,"Dendragapus fuliginosus, Dendragapus obscurus",aou_7_47 (2006),2006,"Dendragapus obscurus -> Dendragapus fuliginosus + Dendragapus obscurus [split, aou_7_47 (2006)]","Dendragapus fuliginosus + Dendragapus obscurus -> Dendragapus obscurus [lump, aou_4_19 (1944)]",1,yes,no,"Dendragapus fuliginosus + Dendragapus obscurus -> Dendragapus obscurus [lump, aou_4_19 (1944)]",lump (1944) -> split (2006) [starting with change id 57e54ac6-ffaa-4ba6-b8ed-4856aeda5516],1,yes,no
206,split,Cuculus saturatus,"Cuculus optatus, Cuculus lepidus, Cuculus saturatus",aou_7_47 (2006),2006,"Cuculus saturatus -> Cuculus optatus + Cuculus lepidus + Cuculus saturatus [split, aou_7_47 (2006)]","Cuculus optatus + Cuculus saturatus -> Cuculus saturatus [lump, aou_4_19 (1944)]",1,yes,no,,,0,no,no
207,split,Larus cachinnans,"Larus michahellis, Larus cachinnans",aou_7_48 (2007),2007,"Larus cachinnans -> Larus michahellis + Larus cachinnans [split, aou_7_48 (2007)]",,0,no,no,,,0,no,no
208,split,Anser fabalis,"Anser fabalis, Anser serrirostris",aou_7_48 (2007),2007,"Anser fabalis -> Anser fabalis + Anser serrirostris [split, aou_7_48 (2007)]",,0,no,no,,,0,no,no
209,lump,"Buteogallus anthracinus, Buteogallus subtilis",Buteogallus anthracinus,aou_7_49 (2008),2008,"Buteogallus anthracinus + Buteogallus subtilis -> Buteogallus anthracinus [lump, aou_7_49 (2008)]",,0,no,no,,,0,no,no
210,split,Phoenicopterus ruber,"Phoenicopterus ruber, Phoenicopterus roseus",aou_7_49 (2008),2008,"Phoenicopterus ruber -> Phoenicopterus ruber + Phoenicopterus roseus [split, aou_7_49 (2008)]",,0,no,no,,,0,no,no
211,split,Pelecanus occidentalis,"Pelecanus occidentalis, Pelecanus thagus",aou_7_49 (2008),2008,"Pelecanus occidentalis -> Pelecanus occidentalis + Pelecanus thagus [split, aou_7_49 (2008)]",,0,no,no,,,0,no,no
212,split,Icterus icterus,"Icterus jamacaii, Icterus icterus, Icterus croconotus",aou_7_49 (2008),2008,"Icterus icterus -> Icterus jamacaii + Icterus icterus + Icterus croconotus [split, aou_7_49 (2008)]",,0,no,no,,,0,no,no
213,split,Melanitta nigra,"Melanitta americana, Melanitta nigra",aou_7_51 (2010),2010,"Melanitta nigra -> Melanitta americana + Melanitta nigra [split, aou_7_51 (2010)]",,0,no,no,,,0,no,no
214,split,Caprimulgus vociferus,"Caprimulgus vociferus, Caprimulgus arizonae",aou_7_51 (2010),2010,"Caprimulgus vociferus -> Caprimulgus vociferus + Caprimulgus arizonae [split, aou_7_51 (2010)]",,0,no,no,,,0,no,no
215,split,Troglodytes troglodytes,"Troglodytes hiemalis, Troglodytes troglodytes, Troglodytes pacificus",aou_7_51 (2010),2010,"Troglodytes troglodytes -> Troglodytes hiemalis + Troglodytes troglodytes + Troglodytes pacificus [split, aou_7_51 (2010)]","Troglodytes troglodytes + Nannus hiemalis -> Troglodytes troglodytes [lump, aou_4_19 (1944)]",1,yes,no,,,0,no,no
216,split,Gallinula chloropus,"Gallinula chloropus, Gallinula galeata",aou_7_52 (2011),2011,"Gallinula chloropus -> Gallinula chloropus + Gallinula galeata [split, aou_7_52 (2011)]","Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]",1,yes,no,"Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]",lump (1923) -> split (2011) [starting with change id c54eb9a7-b0f9-4e7e-a008-aec8a5000d16],1,yes,no
217,split,Aphelocoma ultramarina,"Aphelocoma wollweberi, Aphelocoma ultramarina",aou_7_52 (2011),2011,"Aphelocoma ultramarina -> Aphelocoma wollweberi + Aphelocoma ultramarina [split, aou_7_52 (2011)]",,0,no,no,,,0,no,no
218,split,Setophaga dominica,"Setophaga flavescens, Setophaga dominica",aou_7_52 (2011),2011,"Setophaga dominica -> Setophaga flavescens + Setophaga dominica [split, aou_7_52 (2011)]",,0,no,no,,,0,no,no
219,split,Charadrius alexandrinus,"Charadrius alexandrinus, Charadrius nivosus",aou_7_52 (2011),2011,"Charadrius alexandrinus -> Charadrius alexandrinus + Charadrius nivosus [split, aou_7_52 (2011)]","Charadrius alexandrinus + Charadrius nivosus -> Charadrius alexandrinus [lump, aou_4_19 (1944)]",1,yes,no,"Charadrius alexandrinus + Charadrius nivosus -> Charadrius alexandrinus [lump, aou_4_19 (1944)]",lump (1944) -> split (2011) [starting with change id 540e425a-fc71-42f1-b89f-02c978ebca9c],1,yes,no
220,split,Puffinus lherminieri,"Puffinus subalaris, Puffinus lherminieri",aou_7_53 (2012),2012,"Puffinus lherminieri -> Puffinus subalaris + Puffinus lherminieri [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
221,split,Synthliboramphus hypoleucus,"Synthliboramphus hypoleucus, Synthliboramphus scrippsi",aou_7_53 (2012),2012,"Synthliboramphus hypoleucus -> Synthliboramphus hypoleucus + Synthliboramphus scrippsi [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
222,split,Buteo nitidus,"Buteo plagiatus, Buteo nitidus",aou_7_53 (2012),2012,"Buteo nitidus -> Buteo plagiatus + Buteo nitidus [split, aou_7_53 (2012)]",,0,no,no,,,0,no,no
223,lump,"Basileuterus culicivorus, Basileuterus hypoleucus",Basileuterus culicivorus,aou_7_53 (2012),2012,"Basileuterus culicivorus + Basileuterus hypoleucus -> Basileuterus culicivorus [lump, aou_7_53 (2012)]",,0,no,no,,,0,no,no
224,split,Artemisiospiza belli,"Artemisiospiza belli, Artemisiospiza nevadensis",aou_7_54 (2013),2013,"Artemisiospiza belli -> Artemisiospiza belli + Artemisiospiza nevadensis [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
225,split,Puffinus assimilis,"Puffinus assimilis, Puffinus baroli",aou_7_54 (2013),2013,"Puffinus assimilis -> Puffinus assimilis + Puffinus baroli [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
226,split,Troglodytes aedon,"Troglodytes cobbi, Troglodytes aedon",aou_7_54 (2013),2013,"Troglodytes aedon -> Troglodytes cobbi + Troglodytes aedon [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
227,split,Thalassarche cauta,"Thalassarche eremita, Thalassarche cauta, Thalassarche salvini",aou_7_55 (2014),2014,"Thalassarche cauta -> Thalassarche eremita + Thalassarche cauta + Thalassarche salvini [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
228,split,Rallus elegans,"Rallus elegans, Rallus tenuirostris",aou_7_55 (2014),2014,"Rallus elegans -> Rallus elegans + Rallus tenuirostris [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
229,split,Phylloscopus borealis,"Phylloscopus borealis, Phylloscopus xanthodryas, Phylloscopus examinandus",aou_7_55 (2014),2014,"Phylloscopus borealis -> Phylloscopus borealis + Phylloscopus xanthodryas + Phylloscopus examinandus [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
230,split,Junco hyemalis,"Junco insularis, Junco hyemalis",aou_7_55 (2014),2014,"Junco hyemalis -> Junco insularis + Junco hyemalis [split, aou_7_55 (2014)]","Junco oreganus + Junco insularis + Junco hyemalis + Junco aikeni -> Junco hyemalis [lump, aou_5_32 (1973)]",1,yes,no,,,0,no,no
231,split,Rallus longirostris,"Rallus obsoletus, Rallus longirostris, Rallus crepitans",aou_7_55 (2014),2014,"Rallus longirostris -> Rallus obsoletus + Rallus longirostris + Rallus crepitans [split, aou_7_55 (2014)]","Rallus longirostris + Rallus crepitans -> Rallus longirostris [lump, aou_4 (1931)]; Rallus obsoletus + Rallus longirostris -> Rallus longirostris [lump, aou_4_19 (1944)]",2,yes,no,,,0,no,no
232,split,Pterodroma arminjoniana,"Pterodroma heraldica, Pterodroma arminjoniana",aou_7_56 (2015),2015,"Pterodroma arminjoniana -> Pterodroma heraldica + Pterodroma arminjoniana [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
233,split,Puffinus auricularis,"Puffinus newelli, Puffinus auricularis, Puffinus myrtae",aou_7_56 (2015),2015,"Puffinus auricularis -> Puffinus newelli + Puffinus auricularis + Puffinus myrtae [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
234,split,Stercorarius skua,"Stercorarius skua, Stercorarius antarcticus",aou_7_56 (2015),2015,"Stercorarius skua -> Stercorarius skua + Stercorarius antarcticus [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
235,split,Oceanodroma leucorhoa,"Oceanodroma leucorhoa, Oceanodroma socorroensis, Oceanodroma cheimomnestes",aou_7_57 (2016),2016,"Oceanodroma leucorhoa -> Oceanodroma leucorhoa + Oceanodroma socorroensis + Oceanodroma cheimomnestes [split, aou_7_57 (2016)]","Oceanodroma leucorhoa + Oceanodroma soccoroensis -> Oceanodroma leucorhoa [lump, aou_4_21 (1946)]",1,yes,no,,,0,no,no
236,split,Aphelocoma californica,"Aphelocoma californica, Aphelocoma woodhouseii",aou_7_57 (2016),2016,"Aphelocoma californica -> Aphelocoma californica + Aphelocoma woodhouseii [split, aou_7_57 (2016)]","Aphelocoma woodhousei + Aphelocoma texana + Aphelocoma cyanotis + Aphelocoma californica -> Aphelocoma californica [lump, aou_4 (1931)]",1,yes,no,,,0,no,no
237,lump,"Fulica caribaea, Fulica americana",Fulica americana,aou_7_57 (2016),2016,"Fulica caribaea + Fulica americana -> Fulica americana [lump, aou_7_57 (2016)]",,0,no,no,,,0,no,no
