name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Passerculus sandwichensis,"Passerculus sandwichensis, Ammodramus sandwichensis, Ammodramus sandwichensis savanna, Ammodramus sandwichensis alaudinus, Ammodramus sandwichensis bryanti",5,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902); Dataset aou_2_12 (1903); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_16 (1912); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1902; 1903; 1909; 1910; 1912; 1944; 1957; January 1982; February 1982; 2017,yes,yes,no,
Passerella iliaca,"Passerella iliaca schistacea, Passerella iliaca, Passerella iliaca unalaschcensis, Passerella iliaca megarhyncha",4,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Passerina amoena,"Cyanospiza amoena, Passerina amoena",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; January 1982; February 1982; 1983; 2017,yes,yes,no,
Passerina caerulea,"Passerina caerulea, Guiraca caerulea",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_43 (2002); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 1983; 2002; 2017,yes,yes,no,
Passerina ciris,"Passerina ciris, Cyanospiza ciris",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; January 1982; February 1982; 1983; 2017,yes,yes,no,
Passerina cyanea,"Cyanospiza cyanea, Passerina cyanea",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; January 1982; February 1982; 1983; 2017,yes,yes,no,
Passerina versicolor,"Cyanospiza versicolor, Passerina versicolor",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; January 1982; February 1982; 1983; 2017,yes,yes,no,
Patagioenas fasciata,"Columba fasciata, Patagioenas fasciata",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2003; 2017,yes,yes,no,
Patagioenas flavirostris,"Columba flavirostris, Patagioenas flavirostris",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2003; 2017,yes,yes,no,
Patagioenas leucocephala,"Columba leucocephala, Patagioenas leucocephala",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2003; 2017,yes,yes,no,
