name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Charadrius alexandrinus,Charadrius alexandrinus,1,Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_7_46 (2005); Dataset aou_7_52 (2011),1944; February 1982; 2005; 2011,no,no,no,
Charadrius dubius,"Charadrius dubius, Aegialitis dubia",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_17 (1920); Dataset aou_4_30 (1955); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1920; 1955; January 1982; February 1982; 2017,yes,yes,no,
Charadrius hiaticula,"Charadrius hiaticulus, Aegialitis hiaticula, Charadrius hiaticula",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_29 (1954); Dataset aou_4_31 (1956); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1920; 1931; 1944; 1954; 1956; January 1982; February 1982; 2017,yes,yes,no,
Charadrius melodus,"Aegialitis meloda circumcincta, Charadrius melodus, Aegialitis meloda",3,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; February 1982; 2017,yes,yes,no,
Charadrius mongolus,"Charadrius mongolus, Aegialitis mongola",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; February 1982; 2004; 2017,yes,yes,no,
Charadrius montanus,"Aegialitis montana, Podasocys montana, Charadrius montanus, Podasocys montanus, Eupoda montana",5,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1910; 1931; 1973; February 1982; 2017,yes,yes,no,
Charadrius morinellus,"Eudromias morinellus, Charadrius morinellus",2,Dataset aou_2_10 (1901); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1901; January 1982; February 1982; 2017,no,yes,no,
Charadrius nivosus,"Aegialitis nivosa, Charadrius nivosus",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4_19 (1944); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1944; 2011; 2017,yes,yes,no,
Charadrius semipalmatus,"Aegialitis semipalmata, Charadrius semipalmatus",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4_19 (1944); Dataset aou_4_31 (1956); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1944; 1956; February 1982; 2017,yes,yes,no,
Charadrius vociferus,"Charadrius vociferus, Aegialitis vocifera, Oxyechus vociferus",3,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1944; February 1982; 2017,yes,yes,no,
Charadrius wilsonia,"Ochthodromus wilsonius, Aegialitis wilsonia, Pagolla wilsonia, Charadrius wilsonia",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1923; 1944; February 1982; 2017,yes,yes,no,
Chen caerulescens,Chen caerulescens,1,Dataset aou_1_01 (1889); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1889; 1973; February 1982; 2017,no,yes,no,
Chen canagica,"Philacte canagica, Chen canagica",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Chen hyperborea,"Chen hyperboreus, Chen hyperborea, Chen hyperborea nivalis",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_32 (1973),1886; 1909; 1910; 1931; 1973,yes,no,no,
Chen rossii,"Chen rossii, Chen rossi",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4_25 (1950); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1950; 1957; February 1982; 1998; 2017,yes,yes,no,
Chlidonias leucopterus,"Hydrochelidon leucoptera, Chlidonias leucoptera, Chlidonias leucopterus",3,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1931; 1948; 1957; January 1982; February 1982; 2017,yes,yes,no,
Chlidonias niger,"Chlidonias niger, Hydrochelidon nigra surinamensis, Hydrochelidon nigra, Chlidonias nigra",4,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4_23 (1948); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1948; February 1982; 2017,yes,yes,no,
Chloroceryle americana,"Ceryle cabanisi, Ceryle americana, Chloroceryle americana",3,Checklist aou_1.csv (1886); Dataset aou_1_05 (1893); Dataset aou_2 (1895); Dataset aou_3_18 (1923); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1893; 1895; 1923; 1957; February 1982; 2017,yes,yes,yes,Avibase: rename
Chondestes grammacus,"Chondestes grammacus strigatus, Chondestes grammacus",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Chordeiles acutipennis,Chordeiles acutipennis,1,Dataset aou_1_07 (1895); Dataset aou_2 (1895); Dataset aou_3 (1910); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1895; 1910; 1957; February 1982; 2017,no,yes,no,
Chordeiles minor,"Chordeiles minor, Chordeiles virginianus henryi, Chordeiles virginianus minor, Chordeiles virginianus",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; February 1982; 2017,yes,yes,yes,Avibase: rename
Chordeiles texensis,Chordeiles texensis,1,Checklist aou_1.csv (1886); Dataset aou_1_07 (1895); Dataset aou_2 (1895),1886; 1895,yes,no,no,
Chroicocephalus philadelphia,"Larus philadelphia, Chroicocephalus philadelphia",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_49 (2008); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2008; 2017,yes,yes,no,
Chroicocephalus ridibundus,"Chroicocephalus ridibundus, Larus ridibundus",2,Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Dataset aou_7_49 (2008); Checklist NACC_list_species_aou_7_57.csv (2017),1931; January 1982; February 1982; 1995; 2008; 2017,no,yes,no,
Cinclus mexicanus,Cinclus mexicanus,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; January 1982; February 1982; 2017,yes,yes,no,
Circus cyaneus,Circus cyaneus,1,Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1944; January 1982; February 1982; 2017,no,yes,no,
Circus hudsonius,Circus hudsonius,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944),1886; 1909; 1923; 1944,yes,no,no,
Cissilopha sanblasiana,"Cissilopha san-blasiana, Cissilopha sanblasiana",2,Dataset aou_4_26 (1951); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982),1951; 1973; January 1982,no,no,no,
Cistothorus palustris,"Cistothorus palustris, Telmatodytes palustris",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1976; January 1982; February 1982; 2017,yes,yes,no,
Cistothorus platensis,"Cistothorus platensis, Cistothorus stellaris",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Clangula hyemalis,"Clangula hyemalis, Harelda hyemalis",2,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_42 (2000); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1920; 1957; February 1982; 2000; 2017,yes,yes,no,
Coccothraustes coccothraustes,Coccothraustes coccothraustes,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; February 1982; 2017,no,yes,no,
Coccothraustes vespertinus,"Coccothraustes vespertinus, Hesperiphona vespertina, Coccothraustes vespertina",3,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_2_12 (1903); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1903; January 1982; February 1982; 2017,yes,yes,no,
Coccyzus americanus,Coccyzus americanus,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Coccyzus erythropthalmus,"Coccyzus erythropthalmus, Coccyzus erythrophthalamus, Coccyzus erythrophthalmus",3,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; January 1982; February 1982; 2017,yes,yes,no,
Coccyzus minor,Coccyzus minor,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; February 1982; 2017,yes,yes,no,
Coereba bahamensis,"Certhiola bahamensis, Coereba bahamensis",2,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_4_31 (1956); Dataset aou_5 (1957); Dataset aou_5_32 (1973),1886; 1889; 1956; 1957; 1973,yes,no,no,
Coereba flaveola,Coereba flaveola,1,Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_46 (2005); Checklist NACC_list_species_aou_7_57.csv (2017),1973; January 1982; February 1982; 1983; 2005; 2017,no,yes,no,
Colaptes auratus,Colaptes auratus,1,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1973; January 1982; February 1982; 1998; 2017,yes,yes,no,
Colaptes cafer,"Colaptes cafer, Colaptes cafer saturatior",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_32 (1973),1886; 1931; 1973,yes,no,no,
Colaptes chrysoides,Colaptes chrysoides,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; 1973; 1995; 2017,yes,yes,no,
Colaptes rufipileus,Colaptes rufipileus,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931),1886; 1931,yes,no,no,
Colinus graysoni,Colinus graysoni,1,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889),1886; 1889,yes,no,no,
Colinus ridgwayi,Colinus ridgwayi,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_4_19 (1944),1886; 1909; 1931; 1944,yes,no,no,
Colinus virginianus,"Colinus virginianus floridanus, Colinus virginianus, Colinus virginianus texanus",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1931; 1944; 1957; January 1982; February 1982; 1997; 2017,yes,yes,no,
Columba livia,Columba livia,1,Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1931; February 1982; 2003; 2017,no,yes,no,
Columbina inca,"Scardafella inca, Columbina inca",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Columbina passerina,"Chaemepelia passerina, Chaemepellia passerina, Columbigallina passerina, Columbina passerina",4,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1931; 1973; January 1982; February 1982; 2017,yes,yes,no,
Colymbus holboellii,Colymbus holboellii,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931),1886; 1908; 1931,yes,no,no,
Compsothlypis nigrilora,Compsothlypis nigrilora,1,Checklist aou_1.csv (1886); Dataset aou_2_13 (1904),1886; 1904,yes,no,no,
Contopus cooperi,"Contopus borealis, Nuttallornis mesoleucus, Nuttallornis borealis, Contopus cooperi",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1931; 1945; January 1982; February 1982; 1997; 2017,yes,yes,yes,Avibase: rename
Contopus pertinax,"Myiochanes pertinax, Contopus pertinax",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1947; 1957; January 1982; February 1982; 2017,yes,yes,no,
Contopus sordidulus,"Contopus sordidulus, Contopus richardsonii, Myiochanes richardsoni, Myiochanes richardsonii",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_22 (1947); Dataset aou_4_31 (1956); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1947; 1956; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Contopus virens,"Contopus virens, Myiochanes virens",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_22 (1947); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1947; January 1982; February 1982; 2017,yes,yes,no,
Conuropsis carolinensis,"Conuropsis carolinensis, Conurus carolinensis",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; February 1982; 2017,yes,yes,no,
Coragyps atratus,"Coragyps atratus, Coragyps urubu, Catharista urubu, Catharista atrata",4,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1920; 1931; February 1982; 2017,yes,yes,yes,Avibase: rename
Corvus brachyrhynchos,"Corvus brachyrhynchos, Corvus americanus floridanus, Corvus americanus",3,Checklist aou_1.csv (1886); Dataset aou_2_13 (1904); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1904; 1910; 1923; 1945; 1957; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Corvus caurinus,Corvus caurinus,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1923; 1945; 1957; February 1982; 2017,yes,yes,no,
Corvus corax,"Corvus corax, Corvus corax sinuatus",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1957; February 1982; 2017,yes,yes,no,
Corvus cornix,Corvus cornix,1,Dataset aou_2_14 (1908); Dataset aou_5_33 (1976),1908; 1976,no,no,no,
Corvus corone,Corvus corone,1,Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982),1976; January 1982,no,no,no,
Corvus cryptoleucus,Corvus cryptoleucus,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Corvus frugilegus,Corvus frugilegus,1,Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982),1908; January 1982,no,no,no,
Corvus ossifragus,Corvus ossifragus,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Coturnicops noveboracensis,"Coturnicops noveboracensis, Porzana noveboracensis",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Creciscus coturniculus,"Crescicus coturniculus, Creciscus coturniculus, Porzana coturniculus",3,Dataset aou_1_05 (1893); Dataset aou_1_06 (1894); Dataset aou_1_07 (1895); Dataset aou_2 (1895); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931),1893; 1894; 1895; 1908; 1910; 1931,no,no,no,
Crex crex,Crex crex,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Crotophaga ani,Crotophaga ani,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; February 1982; 2017,yes,yes,no,
Crotophaga sulcirostris,Crotophaga sulcirostris,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Cuculus canorus,Cuculus canorus,1,Dataset aou_1_07 (1895); Dataset aou_2 (1895); Dataset aou_4 (1931); Dataset aou_4_27 (1952); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1895; 1931; 1952; January 1982; February 1982; 2017,no,yes,no,
Cuculus lepidus,Cuculus lepidus,1,Dataset aou_7_47 (2006),2006,no,yes,no,
Cuculus optatus,Cuculus optatus,1,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 2006; 2017,no,yes,no,
Cuculus saturatus,Cuculus saturatus,1,Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006),1944; 1957; February 1982; 2006,no,no,no,
Cyanocitta cristata,"Cyanocitta cristata, Cyanocitta cristata florincola",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Cyanocitta stelleri,"Cyanocitta stelleri, Cyanocitta stelleri frontalis, Cyanocitta stelleri macrolopha",3,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Cyanocorax yncas,"Xanthoura yncas, Cyanocorax yncas",2,Dataset aou_4_19 (1944); Dataset aou_4_30 (1955); Checklist aou_5_34.csv (February 1982); Dataset aou_7_46 (2005); Checklist NACC_list_species_aou_7_57.csv (2017),1944; 1955; February 1982; 2005; 2017,no,yes,no,
Cygnus buccinator,"Olor buccinator, Cygnus buccinator",2,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_4_27 (1952); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; 1952; January 1982; February 1982; 2017,yes,yes,no,
Cygnus columbianus,"Olor columbianus, Cygnus columbianus",2,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_4_27 (1952); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; 1952; January 1982; February 1982; 2017,yes,yes,no,
Cygnus cygnus,"Cygnus cygnus, Olor cygnus",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_4_27 (1952); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1923; 1931; 1952; January 1982; February 1982; 2017,yes,yes,no,
Cygnus olor,"Cygnus olor, Sthenelides olor",2,Dataset aou_4 (1931); Dataset aou_4_20 (1945); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1945; February 1982; 2017,no,yes,no,
Cynanthus latirostris,"Cyananthus latirostris, Iache latirostris, Cynanthus latirostris",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; February 1982; 2017,yes,yes,no,
Cypseloides niger,"Nephoecetes niger, Cypseloides niger",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_27 (1952); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1952; 1957; February 1982; 2017,yes,yes,no,
Cyrtonyx montezumae,Cyrtonyx montezumae,1,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1909; 1910; 1931; 1944; 1957; January 1982; February 1982; 1997; 2017,yes,yes,no,
Daption capense,"Daption capensis, Daption capense",2,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Dataset aou_6_36 (1987),1886; 1910; 1931; 1944; 1957; 1973; February 1982; 1987,yes,no,no,
Delichon urbicum,"Delichon urbica, Chelidonaria urbica, Delichon urbicum",3,Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1908; 1910; 1944; 1957; January 1982; February 1982; 2004; 2017,no,yes,no,
Dendragapus fuliginosus,Dendragapus fuliginosus,1,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 2006; 2017,no,yes,no,
Dendragapus obscurus,"Dendragapus obscurus, Dendragapus obscurus richardsonii, Dendragapus obscurus fuliginosus",3,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; 1957; January 1982; February 1982; 2006; 2017,yes,yes,no,
Dendrocygna arborea,Dendrocygna arborea,1,Dataset aou_5 (1957); Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1957; 1976; January 1982; 1983; 2017,no,yes,no,
Dendrocygna autumnalis,Dendrocygna autumnalis,1,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1976; February 1982; 2017,yes,yes,no,
Dendrocygna bicolor,"Dendrocygna bicolor, Dendrocygna fulva",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; 1976; February 1982; 2017,yes,yes,yes,Avibase: rename
Dendrocygna viduata,Dendrocygna viduata,1,Dataset aou_4 (1931); Dataset aou_4_31 (1956); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1956; 1957; 1976; January 1982; 1983; 2017,no,yes,no,
Dendroica aestiva,Dendroica aestiva,1,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4_20 (1945),1886; 1920; 1945,yes,no,no,
