index,type,from,to,dataset,year,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
126,lump,"Puffinus opisthomelas, Puffinus puffinus",Puffinus puffinus,aou_4_25 (1950),1950,,0,no,no,,,0,no,no
127,split,Branta bernicla,"Branta nigricans, Branta bernicla",aou_4_26 (1951),1951,"Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]; Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_5_33 (1976)]",2,yes,yes,"Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]; Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_5_33 (1976)]","lump (1944) -> split (1951) -> lump (1976) [starting with change Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]]",2,yes,yes
128,lump,"Anser brachyrhynchus, Anser fabalis",Anser fabalis,aou_4_27 (1952),1952,,0,no,no,,,0,no,no
129,lump,"Empidonax wrightii, Empidonax oberholseri",Empidonax oberholseri,aou_4_28 (1953),1953,"Empidonax oberholseri -> Empidonax wrightii + Empidonax oberholseri [split, aou_5_34 (January 1982)]",1,no,yes,"Empidonax oberholseri -> Empidonax wrightii + Empidonax oberholseri [split, aou_5_34 (January 1982)]","lump (1953) -> split (1982) [starting with change Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]]",1,no,yes
130,split,Limnodromus griseus,"Limnodromus griseus, Limnodromus scolopaceus",aou_4_29 (1954),1954,,0,no,no,,,0,no,no
131,lump,"Pipilo erythrophthalmus, Pipilo maculatus",Pipilo erythrophthalmus,aou_4_29 (1954),1954,"Pipilo erythrophthalmus -> Pipilo erythrophthalmus + Pipilo maculatus [split, aou_6_40 (1995)]",1,no,yes,"Pipilo erythrophthalmus -> Pipilo erythrophthalmus + Pipilo maculatus [split, aou_6_40 (1995)]","lump (1954) -> split (1995) [starting with change Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]]",1,no,yes
132,lump,"Canachites franklinii, Canachites canadensis",Canachites canadensis,aou_4_30 (1955),1955,,0,no,no,,,0,no,no
133,split,Progne subis,"Progne cryptoleuca, Progne subis",aou_4_31 (1956),1956,"Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]",1,yes,no,"Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]","lump (1944) -> split (1956) [starting with change Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]]",1,yes,no
134,split,Charadrius hiaticula,"Charadrius semipalmatus, Charadrius hiaticula",aou_4_31 (1956),1956,"Charadrius semipalmatus + Charadrius hiaticula -> Charadrius hiaticula [lump, aou_4_19 (1944)]",1,yes,no,"Charadrius semipalmatus + Charadrius hiaticula -> Charadrius hiaticula [lump, aou_4_19 (1944)]","lump (1944) -> split (1956) [starting with change Charadrius semipalmatus + Charadrius hiaticula -> Charadrius hiaticula [lump, aou_4_19 (1944)]]",1,yes,no
135,lump,"Ardea herodias, Ardea occidentalis",Ardea herodias,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
136,lump,"Chen caerulescens, Chen hyperborea",Chen caerulescens,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
137,lump,"Buteo harlani, Buteo jamaicensis",Buteo jamaicensis,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
138,split,Alectoris graeca,"Alectoris chukar, Alectoris graeca",aou_5_32 (1973),1973,,0,no,no,,,0,no,no
139,lump,"Colaptes auratus, Colaptes chrysoides, Colaptes cafer",Colaptes auratus,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
140,split,Empidonax traillii,"Empidonax alnorum, Empidonax traillii",aou_5_32 (1973),1973,,0,no,no,,,0,no,no
141,lump,"Anas crecca, Anas carolinensis",Anas crecca,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
142,lump,"Turdus migratorius, Turdus confinis",Turdus migratorius,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
143,lump,"Psaltriparus minimus, Psaltriparus melanotis",Psaltriparus minimus,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
144,lump,"Carpodacus amplus, Carpodacus mexicanus, Carpodacus mcgregori",Carpodacus mexicanus,aou_5_32 (1973),1973,,0,no,no,,,0,no,no
145,lump,"Junco oreganus, Junco insularis, Junco hyemalis, Junco aikeni",Junco hyemalis,aou_5_32 (1973),1973,"Junco hyemalis -> Junco insularis + Junco hyemalis [split, aou_7_55 (2014)]",1,no,yes,,,0,no,no
