name,synonyms,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,aou_ids,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
Picoides arizonae,Picoides arizonae; Dryobates arizonae; Dendrocopos arizonae,4,Taxon concept 2388edb6-6979-43b1-b32a-5f78145632a4 containing 'Dryobates arizonae' and 'Picoides arizonae' and 'Dendrocopos arizonae' found between 1889 to January 1982 in 4 datasets (part of name cluster 23b92ec6-2057-4b17-87b8-60827002c1be); Taxon concept 3b3c1999-23a8-4901-9472-d34a8a382ae2 containing 'Picoides arizonae' found between January 1982 to 2000 in 2 datasets (part of name cluster 23b92ec6-2057-4b17-87b8-60827002c1be); Taxon concept 0fb74ad8-982e-4359-a958-c063a6e7a343 containing 'Picoides arizonae' found between 2000 to 2017 in 2 datasets (part of name cluster 23b92ec6-2057-4b17-87b8-60827002c1be); Taxon concept 9d9c955b-413b-4618-901c-d57bda2108e8 containing 'Dryobates arizonae' found between 1889 in 1 datasets (part of name cluster 23b92ec6-2057-4b17-87b8-60827002c1be),split -> rename -> rename -> lump -> split -> referenced,split -> lump -> split -> referenced,split -> lump -> split,aou_1_01 (1889),1889,NA,Arizona Woodpecker,965,Picidae,Pic d'Arizona,Picoides,Piciformes,species,NA,Picoides arizonae,NA,NA,NA,NA,NA,NA,Picinae
Stercorarius pomarinus,Stercorarius pomarinus,1,Taxon concept 4c45b500-c1ad-4f3b-ae6d-2677a1f4bce7 containing 'Stercorarius pomarinus' found between 1886 to 2017 in 5 datasets (part of name cluster 306ea018-b142-4619-a59c-654b1df48abc),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Pomarine Jaeger,36; 510,Stercorariidae,Labbe pomarin,Stercorarius,Charadriiformes,species,Stercorarius pomarinus,Stercorarius pomarinus,NA,NA,NA,NA,NA,NA,NA
Helmitheros vermivorum,Helmitheros vermivorum; Helmitherus vermivorus; Helmitheros vermivorus,1,Taxon concept 841416b3-d7a5-406c-8ad4-de0c5383b2dc containing 'Helmitheros vermivorum' and 'Helmitherus vermivorus' and 'Helmitheros vermivorus' found between 1886 to 2017 in 9 datasets (part of name cluster 2db3fa49-1a87-490c-81eb-158958529c2b),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Worm-eating Warbler,1578; 639,Parulidae,Paruline vermivore,Helmitheros,Passeriformes,species,Helmitherus vermivorus; Helmitheros vermivorus,Helmitheros vermivorum,NA,NA,NA,NA,NA,NA,NA
Lanius ludovicianus,Lanius ludovicianus; Lanius ludovicianus excubitorides,1,Taxon concept 5ebf619c-9d7f-453a-b3c2-c8e89b010ba8 containing 'Lanius ludovicianus' and 'Lanius ludovicianus excubitorides' found between 1886 to 2017 in 3 datasets (part of name cluster 8118d2b8-784c-4320-b82a-ad104032d4d4),added|added -> deleted -> referenced,added|added -> deleted -> referenced,,aou_1.csv (1886),1886,NA,Loggerhead Shrike,622a; 622; 1230,Laniidae,Pie-grièche migratrice,Lanius,Passeriformes,species,Lanius ludovicianus; Lanius ludovicianus excubitorides,Lanius ludovicianus,NA,NA,NA,NA,NA,NA,NA
Alle alle,Alle alle; Plautus alle,1,Taxon concept 876f577f-5719-4ad7-a5d4-17119ca799cb containing 'Alle alle' and 'Plautus alle' found between 1886 to 2017 in 5 datasets (part of name cluster 3c27e4ff-a7b2-4f5d-9196-fd9888856a9b),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Dovekie,34; 513,Alcidae,Mergule nain,Alle,Charadriiformes,species,Alle alle,Alle alle,NA,NA,NA,NA,NA,NA,NA
Podilymbus podiceps,Podilymbus podiceps,1,Taxon concept 90eba406-2dfb-48e4-a302-b8c447d4da3b containing 'Podilymbus podiceps' found between 1886 to 2017 in 5 datasets (part of name cluster 55eeaad1-00f9-4b88-999b-45b2cd8ac559),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Pied-billed Grebe,6; 138,Podicipedidae,Grèbe à bec bigarré,Podilymbus,Podicipediformes,species,Podilymbus podiceps,Podilymbus podiceps,NA,NA,NA,NA,NA,NA,NA
Gymnogyps californianus,Gymnogyps californianus; Pseudogryphus californianus,1,Taxon concept ca6696e4-e341-46fe-9fcf-2a399abd5109 containing 'Pseudogryphus californianus' and 'Gymnogyps californianus' found between 1886 to 2017 in 5 datasets (part of name cluster 425e6a59-b1ec-44ba-a7ff-f7bdc1697fed),added -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,California Condor,324; 258,Cathartidae,Condor de Californie,Gymnogyps,Cathartiformes,species,Gymnogyps californianus; Pseudogryphus californianus,Gymnogyps californianus,NA,NA,NA,NA,NA,NA,NA
Somateria spectabilis,Somateria spectabilis,1,Taxon concept fae67867-6eca-48c6-a663-21dd50d5c688 containing 'Somateria spectabilis' found between 1886 to 2017 in 3 datasets (part of name cluster 4dbe7640-8acf-4976-8013-26e22e2479eb),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,King Eider,59; 162,Anatidae,Eider à tête grise,Somateria,Anseriformes,species,Somateria spectabilis,Somateria spectabilis,NA,NA,NA,NA,NA,NA,Anatinae
Pyrocephalus rubinus,Pyrocephalus rubinus; Pyrocephalus rubineus; Pyrocephalus rubineus mexicanus,1,Taxon concept 44b51071-2fa2-4187-ae75-64fcbdf4ec2a containing 'Pyrocephalus rubineus' and 'Pyrocephalus rubinus' and 'Pyrocephalus rubineus mexicanus' found between 1886 to 2017 in 4 datasets (part of name cluster f6f8d334-f035-4e63-ab74-7c08b34d12fc),added -> rename -> deleted -> referenced,added -> deleted -> referenced,,aou_1.csv (1886),1886,NA,Vermilion Flycatcher,1156; 471,Tyrannidae,Moucherolle vermillon,Pyrocephalus,Passeriformes,species,Pyrocephalus rubinus; Pyrocephalus rubineus mexicanus,Pyrocephalus rubinus,NA,NA,NA,NA,NA,NA,Fluvicolinae
Setophaga kirtlandii,Setophaga kirtlandii; Dendroica kirtlandii; Dendroica kirtlandi,1,Taxon concept d4319fea-4174-42ea-bb46-de93be689487 containing 'Dendroica kirtlandi' and 'Setophaga kirtlandii' and 'Dendroica kirtlandii' found between 1886 to 2017 in 9 datasets (part of name cluster 6f34632a-48d8-4fbc-83a8-37cac9c75e26),added -> referenced -> rename -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Kirtland's Warbler,1564; 670,Parulidae,Paruline de Kirtland,Setophaga,Passeriformes,species,Dendroica kirtlandii; Dendroica kirtlandi,Setophaga kirtlandii,NA,NA,NA,NA,NA,NA,NA
Setophaga citrina,Sylvania mitrata; Wilsonia citrina; Setophaga citrina; Wilsonia mitrata,1,Taxon concept 9c975b14-d0a1-42f7-86ae-5625def64312 containing 'Wilsonia citrina' and 'Sylvania mitrata' and 'Setophaga citrina' and 'Wilsonia mitrata' found between 1886 to 2017 in 10 datasets (part of name cluster 3eadf4d7-2c3f-401e-96fc-f8e0645f2588),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Hooded Warbler,684; 1600,Parulidae,Paruline à capuchon,Setophaga,Passeriformes,species,Sylvania mitrata; Wilsonia citrina,Setophaga citrina,NA,NA,NA,NA,NA,NA,NA
Pelecanus thagus,Pelecanus thagus,2,Taxon concept 700a9648-a3e1-432a-bb5d-d7a6fb5f608b containing 'Pelecanus thagus' found between 2008 in 1 datasets (part of name cluster 691a92e3-6a3d-44e1-bc6a-2b6309b4cb3b); Taxon concept 84d93b0b-a6fe-45cb-83e1-d24050e24741 containing 'Pelecanus thagus' found between 2008 in 1 datasets (part of name cluster 691a92e3-6a3d-44e1-bc6a-2b6309b4cb3b),split,split,split,aou_7_49 (2008),2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ardenna tenuirostris,Ardenna tenuirostris; Puffinus tenuirostris,1,Taxon concept 13fb5f04-a3cc-4c0e-ad26-411f556b2941 containing 'Puffinus tenuirostris' and 'Ardenna tenuirostris' found between 1886 to 2017 in 7 datasets (part of name cluster 70a3aa99-532e-427f-a1c6-001b7c8bf4f6),added -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Short-tailed Shearwater,96; 175,Procellariidae,Puffin à bec grêle,Ardenna,Procellariiformes,species,Puffinus tenuirostris,Ardenna tenuirostris,NA,NA,NA,NA,NA,N,NA
Tringa incana,Heteractitis incanus; Heteroscelus incanus; Tringa incana; Heteroscelus incanum,1,Taxon concept bab48bac-24cc-4e9b-9ead-170fe8f2ae7b containing 'Heteractitis incanus' and 'Heteroscelus incanus' and 'Heteroscelus incanum' and 'Tringa incana' found between 1886 to 2017 in 9 datasets (part of name cluster 704ba7d6-1138-47e7-83c6-c98b16f3707a),added -> referenced -> rename -> rename -> rename -> rename -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic. Referred to as <i> Heterosceles incanus</i> by Clements (2000) and Howard and Moore (2003).,Wandering Tattler,401; 259,Scolopacidae,Chevalier errant,Tringa,Charadriiformes,species,Heteractitis incanus; Heteroscelus incanus,Tringa incana,NA,NA,NA,NA,NA,NA,Tringinae
Haemorhous cassinii,Carpodacus cassini; Haemorhous cassinii; Carpodacus cassinii,1,Taxon concept 7ae353b0-80fc-4f6f-86dd-b304226f99fe containing 'Carpodacus cassinii' and 'Haemorhous cassinii' and 'Carpodacus cassini' found between 1886 to 2017 in 6 datasets (part of name cluster 520a4cc3-52b4-47c9-8fae-2a765ccf22d3),added -> rename -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Cassin's Finch,10361; 518,Fringillidae,Roselin de Cassin,Haemorhous,Passeriformes,species,Carpodacus cassini; Carpodacus cassinii,Haemorhous cassinii,NA,NA,NA,NA,NA,NA,Carduelinae
Synthliboramphus antiquus,Synthliboramphus antiquus; Synthliboramphus antiquum,1,Taxon concept 82b6229c-5ab1-4318-b483-fc4898aac762 containing 'Synthliboramphus antiquus' and 'Synthliboramphus antiquum' found between 1886 to 2017 in 5 datasets (part of name cluster e94765b6-6994-4ff1-94e8-726188c9f737),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Ancient Murrelet,525; 21,Alcidae,Guillemot à cou blanc,Synthliboramphus,Charadriiformes,species,Synthliboramphus antiquus,Synthliboramphus antiquus,NA,NA,NA,NA,NA,NA,NA
Strix occidentalis,Syrnium occidentale; Strix occidentalis,1,Taxon concept 21829899-7c20-486a-a57b-adb0089debf3 containing 'Syrnium occidentale' and 'Strix occidentalis' found between 1886 to 2017 in 4 datasets (part of name cluster 2b0b636e-6a30-4511-b238-87857328fb72),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Spotted Owl,695; 369,Strigidae,Chouette tachetée,Strix,Strigiformes,species,Syrnium occidentale; Strix occidentalis,Strix occidentalis,NA,NA,NA,NA,NA,NA,NA
Vermivora cyanoptera,Vermivora pinus; Vermivora cyanoptera; Helminthophila pinus,1,Taxon concept f3ef6af4-db3b-4220-98ea-54f5c63d2d98 containing 'Vermivora pinus' and 'Vermivora cyanoptera' and 'Helminthophila pinus' found between 1886 to 2017 in 9 datasets (part of name cluster daa74e39-bc3a-4d8e-803a-6b456b25999d),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Blue-winged Warbler,1533; 641,Parulidae,Paruline à ailes bleues,Vermivora,Passeriformes,species,Vermivora pinus; Helminthophila pinus,Vermivora cyanoptera,NA,NA,NA,NA,NA,NA,NA
Coturnicops noveboracensis,Coturnicops noveboracensis; Porzana noveboracensis,1,Taxon concept 686f86be-9e6c-4149-ba77-93d5caf4f946 containing 'Coturnicops noveboracensis' and 'Porzana noveboracensis' found between 1886 to 2017 in 4 datasets (part of name cluster 387be2e8-3f97-4a48-9d40-a2d975919b9c),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Yellow Rail,333; 215,Rallidae,Râle jaune,Coturnicops,Gruiformes,species,Coturnicops noveboracensis; Porzana noveboracensis,Coturnicops noveboracensis,NA,NA,NA,NA,NA,NA,NA
Falco peregrinus,Falco peregrinus anatum; Falco peregrinus pealei; Falco peregrinus,1,Taxon concept e9fbcf79-60c1-43d7-a8ca-95588e49c02d containing 'Falco peregrinus pealei' and 'Falco peregrinus' and 'Falco peregrinus anatum' found between 1886 to 2017 in 4 datasets (part of name cluster 97bc89fa-0755-45cb-bddd-1d6f8c3a22ac),added|added -> referenced -> added|deleted|deleted -> referenced,added|added -> referenced -> added|deleted|deleted -> referenced,,aou_1.csv (1886),1886,NA,Peregrine Falcon,331; 356; 356a,Falconidae,Faucon pèlerin,Falco,Falconiformes,species,Falco peregrinus anatum; Falco peregrinus pealei; Falco peregrinus,Falco peregrinus,NA,NA,NA,NA,NA,NA,Falconinae
Calidris maritima,Arquatella maritima; Tringa maritima; Calidris maritima; Erolia maritima,3,Taxon concept 2ea9bb5e-a1a1-4423-b392-51bbfe6f5d38 containing 'Tringa maritima' and 'Arquatella maritima' found between 1886 to 1908 in 3 datasets (part of name cluster a252e352-76f1-47ac-a8fb-6910825da49b); Taxon concept 2e4f4882-3d4c-40f7-a57b-6958b9c4707c containing 'Arquatella maritima' found between 1908 to 1931 in 2 datasets (part of name cluster a252e352-76f1-47ac-a8fb-6910825da49b); Taxon concept 7b1f81fc-6aae-4162-ab8c-0b66d0194d0b containing 'Arquatella maritima' and 'Calidris maritima' and 'Erolia maritima' found between 1931 to 2017 in 5 datasets (part of name cluster a252e352-76f1-47ac-a8fb-6910825da49b),added -> rename -> lump -> split -> rename -> rename -> referenced -> referenced,added -> lump -> split -> referenced -> referenced,lump -> split,aou_1.csv (1886),1886,"Recognized as monotypic by del Hoyo et al. (1992), Clements (2000) and BNA. Howard and Moore (2003) recognizes 3 subspecies: <i></>C.m. belcheri, C.m....",Purple Sandpiper,440; 235,Scolopacidae,Bécasseau violet,Calidris,Charadriiformes,species,Tringa maritima; Calidris maritima,Calidris maritima,NA,NA,NA,NA,NA,NA,Arenariinae
Leucosticte arctoa,Leucosticte arctoa,3,Taxon concept 47e8f26a-2642-4005-94bc-9c680ca08e92 containing 'Leucosticte arctoa' found between 1993 to 2017 in 3 datasets (part of name cluster cd88ee3f-5519-41b4-ac75-4a7ed40fed7c); Taxon concept 78730dfa-5068-4e8a-97b1-093586ce481b containing 'Leucosticte arctoa' found between January 1982 in 1 datasets (part of name cluster cd88ee3f-5519-41b4-ac75-4a7ed40fed7c); Taxon concept bd194837-f58d-4e4a-ac1c-e48bbac148bc containing 'Leucosticte arctoa' found between January 1982 to 1993 in 2 datasets (part of name cluster cd88ee3f-5519-41b4-ac75-4a7ed40fed7c),lump -> split -> referenced -> referenced,lump -> split -> referenced -> referenced,lump -> split,aou_5_34 (January 1982),1982,NA,Asian Rosy-Finch,10711,Fringillidae,Roselin brun,Leucosticte,Passeriformes,species,NA,Leucosticte arctoa,A,NA,NA,NA,NA,NA,Carduelinae
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,1,Taxon concept 5f33be16-a1e7-4e24-9f3c-1238a45929b5 containing 'Pelecanus erythrorhynchos' found between 1886 to 2017 in 5 datasets (part of name cluster 814c2e8c-6857-4b76-9578-d4e99fe47541),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,American White Pelican,125; 205,Pelecanidae,Pélican d'Amérique,Pelecanus,Pelecaniformes,species,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,NA,NA,NA,NA,NA,NA,NA
Geothlypis beldingi,Geothlypis beldingi,1,Taxon concept 234a704a-2c30-424b-8990-356b8eda7407 containing 'Geothlypis beldingi' found between 1886 to 2017 in 6 datasets (part of name cluster aca8506b-c5cb-4e38-adcf-1c6b97849a88),added -> referenced -> referenced -> deleted -> added -> referenced,added -> referenced -> referenced -> deleted -> added -> referenced,,aou_1.csv (1886),1886,NA,Belding's Yellowthroat,682; 1588,Parulidae,Paruline de Belding,Geothlypis,Passeriformes,species,Geothlypis beldingi,Geothlypis beldingi,NA,NA,NA,NA,NA,NA,NA
Setophaga occidentalis,Setophaga occidentalis; Dendroica occidentalis,1,Taxon concept fae5c836-640e-4412-add3-b53687dfce60 containing 'Setophaga occidentalis' and 'Dendroica occidentalis' found between 1886 to 2017 in 8 datasets (part of name cluster ddb9ae33-c0dc-47de-ab8a-d519d0d69d33),added -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Hermit Warbler,1555; 669,Parulidae,Paruline à tête jaune,Setophaga,Passeriformes,species,Dendroica occidentalis,Setophaga occidentalis,NA,NA,NA,NA,NA,NA,NA
Surnia ulula,Surnia ulula caparoch; Surnia ulula,1,Taxon concept 4d4a1328-9a74-45ce-a9c2-5b21738306ac containing 'Surnia ulula caparoch' and 'Surnia ulula' found between 1886 to 2017 in 9 datasets (part of name cluster 835fcabb-d3b7-485b-b4ee-ed0b9dbec7b0),added|added -> referenced -> referenced -> referenced -> referenced -> referenced -> deleted -> referenced -> referenced,added|added -> referenced -> referenced -> referenced -> referenced -> referenced -> deleted -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Northern Hawk Owl,683; 377a; [377],Strigidae,Chouette épervière,Surnia,Strigiformes,species,Surnia ulula caparoch; Surnia ulula,Surnia ulula,NA,NA,NA,NA,NA,NA,NA
Callipepla gambelii,Lophortyx gambeli; Callipepla gambeli; Callipepla gambelii; Lophortyx gambelii,1,Taxon concept 733b3158-647b-4750-9974-bc6383a624ac containing 'Callipepla gambeli' and 'Lophortyx gambeli' and 'Callipepla gambelii' and 'Lophortyx gambelii' found between 1886 to 2017 in 11 datasets (part of name cluster 9b64a3c5-dc04-48c7-8a20-d24655dcbc8e),added -> rename -> rename -> referenced -> rename -> referenced -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Gambel's Quail,295; 120,Odontophoridae,Colin de Gambel,Callipepla,Galliformes,species,Callipepla gambeli; Callipepla gambelii,Callipepla gambelii,NA,NA,NA,NA,NA,NA,NA
Calcarius lapponicus,Calcarius lapponicus,1,Taxon concept c9c45466-9f9b-40d8-b520-b892c9c8ad4b containing 'Calcarius lapponicus' found between 1886 to 2017 in 5 datasets (part of name cluster bdbbf2ca-0f4e-467a-9dd8-bf34471939e4),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Lapland Longspur,1733; 536,Calcariidae,Plectrophane lapon,Calcarius,Passeriformes,species,Calcarius lapponicus,Calcarius lapponicus,NA,NA,NA,NA,NA,NA,NA
Zonotrichia leucophrys,Zonotrichia leucophrys,1,Taxon concept 24a85ded-1b4a-4eb7-b4ac-5a6c6d7a29cb containing 'Zonotrichia leucophrys' found between 1886 to 2017 in 4 datasets (part of name cluster cf509c5d-9cd8-4630-9a1c-841c16ca2f38),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,White-crowned Sparrow,554; 1728,Emberizidae,Bruant à couronne blanche,Zonotrichia,Passeriformes,species,Zonotrichia leucophrys,Zonotrichia leucophrys,NA,NA,NA,NA,NA,NA,NA
