"","sum_redescriptions","mean_redescriptions","count","min","mean","max","significant","interval_width"
"Carduelis",0,0,1,-2.30325444951682,-0.254878606143817,1.59721709969594,"no",3.90047154921276
"Cathartes",0,0,1,-2.33555871514565,-0.289946091911744,1.53814770004271,"no",3.87370641518836
"Catharus",2,0.4,5,-1.07650578362217,0.428161261382511,1.7617713512551,"no",2.83827713487727
"Catherpes",0,0,1,-2.30102889519644,-0.344012672078354,1.45139499450859,"no",3.75242388970503
"Centrocercus",2,1,2,-0.733389868903397,0.81861360509257,2.22560199988318,"no",2.95899186878658
"Cepphus",1,0.5,2,-1.4574819345932,0.335367226346524,1.93052198080565,"no",3.38800391539885
"Cerorhinca",0,0,1,-2.33077897882688,-0.281593004562619,1.56368087415384,"no",3.89445985298073
"Chaetura",0,0,2,-2.30152372666998,-0.409300190739932,1.31369282735476,"no",3.61521655402474
"Chamaea",0,0,1,-2.28303252054173,-0.322437952859215,1.46727532709002,"no",3.75030784763176
"Charadrius",6,0.6,10,-0.414869939738391,0.720449625100376,1.77402598384353,"no",2.18889592358192
"Chen",1,0.333333333333333,3,-1.64453610418876,0.046893274146693,1.51521490075946,"no",3.15975100494821
"Chlidonias",0,0,2,-2.30454349999659,-0.390789013976746,1.37841605653479,"no",3.68295955653138
"Chloroceryle",0,0,1,-2.3158218736804,-0.3084853654686,1.53062273655134,"no",3.84644461023174
"Chondestes",0,0,1,-2.3422753291721,-0.378004687790268,1.38622206323506,"no",3.72849739240716
"Chordeiles",1,0.5,2,-1.48174895293335,0.243464506211929,1.81133631372815,"no",3.2930852666615
"Chroicocephalus",0,0,2,-2.33469050830664,-0.353220700650248,1.41280235366217,"no",3.74749286196881
"Cinclus",0,0,1,-2.31162148553185,-0.320762624074539,1.4985981616189,"no",3.81021964715075
"Circus",1,1,1,-1.20100433609249,0.648839281895787,2.35805635271814,"no",3.55906068881063
"Cistothorus",0,0,2,-2.44780489604693,-0.537867625621731,1.18268558947377,"no",3.63049048552071
"Clangula",0,0,1,-2.32844491991451,-0.325033799508466,1.49193288921572,"no",3.82037780913023
"Coccothraustes",0,0,2,-2.48215689852292,-0.478026864271133,1.25024404016918,"no",3.7324009386921
"Coccyzus",0,0,3,-2.47305581394383,-0.640288585597145,1.00850657831158,"no",3.48156239225541
"Coereba",1,1,1,-1.06290893539169,0.784656660987014,2.52714778111019,"no",3.59005671650188
"Colaptes",2,1,2,-0.806903442036846,0.700003784492002,2.06164385668507,"no",2.86854729872192
"Colinus",1,1,1,-1.28087302504256,0.487518749892044,2.11868299680156,"no",3.39955602184412
"Columba",0,0,1,-2.29456771736457,-0.187233469953086,1.78391630352353,"no",4.07848402088809
"Columbina",0,0,2,-2.37874474062996,-0.409454611578401,1.35322278038697,"no",3.73196752101693
"Contopus",0,0,4,-2.55034178637533,-0.73663393864075,0.822466775417608,"no",3.37280856179293
"Conuropsis",0,0,1,-2.34047783000277,-0.323421475583315,1.48702735869873,"no",3.8275051887015
"Coragyps",0,0,1,-2.33035377099994,-0.302625757663895,1.56199280938783,"no",3.89234658038777
"Corvus",4,0.8,5,-0.493152583229843,0.696815285688432,1.8002673213852,"no",2.29341990461504
"Coturnicops",0,0,1,-2.37340279710735,-0.425372456409981,1.31774417039804,"no",3.69114696750539
"Crex",0,0,1,-2.40057770263201,-0.430162982600516,1.3407481296182,"no",3.7413258322502
"Crotophaga",0,0,2,-2.4444040357148,-0.499827912209377,1.15845772617297,"no",3.60286176188778
"Cuculus",2,1,2,-0.669984295054052,0.967450550244884,2.44978343708914,"no",3.11976773214319
"Cyanocitta",0,0,2,-2.49946219308039,-0.588466336569488,1.06587128752014,"no",3.56533348060053
"Cyanocorax",0,0,1,-2.28916796308765,-0.27685485030187,1.56494254348837,"no",3.85411050657603
"Cygnus",0,0,4,-2.46545979751441,-0.708253206964754,0.837104691776048,"no",3.30256448929046
"Cynanthus",0,0,1,-2.28141779134981,-0.226984580266175,1.68766163373207,"no",3.96907942508188
