name,code,url,year,type,author_set,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,binomial_count,binomial_count_after_filtering
Supplement 9,AOU_2_09,http://sora.unm.edu/node/6913,1899,changes,1.1,Robert Ridgway,J. A. Allen,William Brewster,Elliott Coues,C. Hart Merriam,,,,,,,,,837,837
Supplement 10,AOU_2_10,http://sora.unm.edu/node/7386,1901,changes,4,C. Hart Merriam,J. A. Allen,Charles F. Batchelder,William Brewster,Charles B. Cory,Walter Faxon,Robert Ridgway,,,,,,,845,845
Supplement 11,AOU_2_11,http://sora.unm.edu/node/7608,1902,changes,5,C. Hart Merriam,J. A. Allen,William Brewster,"Jonathan Dwight, Jr",Charles W. Richmond,Robert Ridgway,Witmer Stone,,,,,,,845,845
Supplement 12,AOU_2_12,http://sora.unm.edu/node/7786,1903,changes,5,C. Hart Merriam,J. A. Allen,William Brewster,"Jonathan Dwight, Jr",Charles W. Richmond,Robert Ridgway,Witmer Stone,,,,,,,850,850
Supplement 13,AOU_2_13,http://sora.unm.edu/node/7970,1904,changes,5,J. A. Allen,Charles W. Richmond,William Brewster,"Jonathan Dwight, Jr",C. Hart Merriam,Robert Ridgway,Witmer Stone,,,,,,,848,848
Supplement 14,AOU_2_14,http://sora.unm.edu/node/8760,1908,changes,5,J. A. Allen,Charles W. Richmond,William Brewster,"Jonathan Dwight, Jr",C. Hart Merriam,Robert Ridgway,Witmer Stone,,,,,,,854,854
Supplement 15,AOU_2_15,http://sora.unm.edu/node/8932,1909,changes,5,J. A. Allen,Charles W. Richmond,William Brewster,"Jonathan Dwight, Jr",C. Hart Merriam,Robert Ridgway,Witmer Stone,,,,,,,854,854
3rd Edition,AOU_3,http://dx.doi.org/10.5962/bhl.title.13786,1910,list with synonyms and geographical distribution,5,J. A. Allen,Chas. W. Richmond,William Brewster,"Jonathan Dwight, Jr",C. Hart Merriam,Robert Ridgway,Witmer Stone,,,,,,,859,859
Supplement 16,AOU_3_16,http://sora.unm.edu/node/9627,1912,changes,5,J. A. Allen,Charles W. Richmond,William Brewster,"Jonathan Dwight, Jr",C. Hart Merriam,Robert Ridgway,Witmer Stone,,,,,,,863,863
Supplement 17,AOU_3_17,http://sora.unm.edu/node/11567,1920,changes,6,Witmer Stone,Harry C. Oberholser,Jonathan Dwight,T. S. Palmer,Charles W. Richmond,,,,,,,,,865,865
Supplement 18,AOU_3_18,http://sora.unm.edu/node/12912,1923,changes,6,Witmer Stone,Harry C. Oberholser,Jonathan Dwight,T. S. Palmer,Charles W. Richmond,,,,,,,,,864,864
4th Edition,AOU_4,http://dx.doi.org/10.5962/bhl.title.6394,1931,list with synonyms and geographical distribution,7,Witmer Stone,Jonathan Dwight,Joseph Grinnell,Waldron DeWitt Miller,Harry C. Oberholser,T. S. Palmer,James Lee Peters,Charles W. Richmond,Alexander Wetmore,John T. Zimmer,,,,874,874
Supplement 19,AOU_4_19,http://sora.unm.edu/node/18734,1944,changes,8,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Adriaan J. van Rossum,Josselyn van Tyne,John T. Zimmer,,,,,,853,853
Supplement 20,AOU_4_20,http://sora.unm.edu/node/18922,1945,changes,8,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Adriaan J. van Rossum,Josselyn van Tyne,John T. Zimmer,,,,,,858,858
Supplement 21,AOU_4_21,http://sora.unm.edu/node/19117,1946,changes,8,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Adriaan J. van Rossum,Josselyn van Tyne,John T. Zimmer,,,,,,855,855
Supplement 22,AOU_4_22,http://sora.unm.edu/node/19328,1947,changes,8,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Adriaan J. van Rossum,Josselyn van Tyne,John T. Zimmer,,,,,,860,860
Supplement 23,AOU_4_23,http://sora.unm.edu/node/19530,1948,changes,8,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Adriaan J. van Rossum,Josselyn van Tyne,John T. Zimmer,,,,,,863,863
Supplement 24,AOU_4_24,http://sora.unm.edu/node/19725,1949,changes,8,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Adriaan J. van Rossum,Josselyn van Tyne,John T. Zimmer,,,,,,867,867
Supplement 25,AOU_4_25,http://sora.unm.edu/node/19831,1950,changes,8.1,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Josselyn van Tyne,John T. Zimmer,,,,,,,869,869
Supplement 26,AOU_4_26,http://sora.unm.edu/node/19971,1951,changes,8.1,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Josselyn van Tyne,John T. Zimmer,,,,,,,870,870
Supplement 27,AOU_4_27,http://sora.unm.edu/node/20082,1952,changes,8.1,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,James L. Peters,Josselyn van Tyne,John T. Zimmer,,,,,,,868,868
Supplement 28,AOU_4_28,http://sora.unm.edu/node/20170,1953,changes,8.2,Alexander Wetmore,Herbert Friedmann,Frederick C. Lincoln,Alden H. Miller,Josselyn van Tyne,John T. Zimmer,,,,,,,,871,871
Supplement 29,AOU_4_29,http://sora.unm.edu/node/20254,1954,changes,9,Alexander Wetmore,Herbert Friedmann,Dean Amadon,Frederick C. Lincoln,"George H. Lowery, Jr",Alden H. Miller,Frank A. Pitelka,Josselyn van Tyne,John T. Zimmer,,,,,873,873
Supplement 30,AOU_4_30,http://sora.unm.edu/node/20358,1955,changes,9,Alexander Wetmore,Herbert Friedmann,Dean Amadon,Frederick C. Lincoln,"George H. Lowery, Jr",Alden H. Miller,Frank A. Pitelka,Josselyn van Tyne,John T. Zimmer,,,,,870,870
Supplement 31,AOU_4_31,http://sora.unm.edu/node/20462,1956,changes,9,Alexander Wetmore,Herbert Friedmann,Dean Amadon,Frederick C. Lincoln,"George H. Lowery, Jr",Alden H. Miller,Frank A. Pitelka,Josselyn van Tyne,John T. Zimmer,,,,,875,875
5th Edition,AOU_5,http://www.biodiversitylibrary.org/bibliography/50891,1957,list with synonyms and geographical distribution,10,Alexander Wetmore,Herbert Friedmann,Dean Amadon,Frederick C. Lincoln,"George H. Lowery, Jr",Alden H. Miller,James L. Peters,Frank A. Pitelka,Adriaan J. van Rossem,Josselyn van Tyne,John T. Zimmer,,,873,873
Supplement 32,AOU_5_32,http://sora.unm.edu/node/22371,1973,changes,11,Eugene Eisenmann,Dean Amadon,Richard C. Banks,Emmet R. Blake,Thomas R. Howell,Ned K. Johnson,"George H. Lowery, Jr",Kenneth C. Parkes,Robert W. Storer,,,,,859,859
Supplement 33,AOU_5_33,http://sora.unm.edu/node/22909,1976,changes,12,Eugene Eisenmann,Kenneth C. Parkes,Richard C. Banks,Thomas R. Howell,Ned K. Johnson,"George H. Lowery, Jr","Burt L. Monroe, Jr",Robert W. Storer,Lester L. Short,,,,,858,858
Supplement 34,AOU_5_34,http://dx.doi.org/10.2307/4085886,1982,list with common names,12.1,Eugene Eisenmann,"Burt L. Monroe, Jr",Kenneth C. Parkes,Lester L. Short,Richard C. Banks,Thomas R. Howell,Ned K. Johnson,Robert W. Storer,,,,,,937,754
6th Edition,AOU_6,http://dx.doi.org/10.5962/bhl.title.50892,1983,"list with synonyms, habitat and distribution",12.1,Eugene Eisenmann,"Burt L. Monroe, Jr",Kenneth C. Parkes,Lester L. Short,Richard C. Banks,Thomas R. Howell,Ned K. Johnson,Robert W. Storer,,,,,,1908,775
Supplement 35,AOU_6_35,http://sora.unm.edu/node/24156,1985,changes,13,"Burt L. Monroe, Jr",Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,Henri Ouellet,James V. Remsen,Robert W. Storer,,,,,,1924,779
Supplement 36,AOU_6_36,http://sora.unm.edu/node/24469,1987,changes,13,"Burt L. Monroe, Jr",Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,Henri Ouellet,James V. Remsen,Robert W. Storer,,,,,,1935,780
Supplement 37,AOU_6_37,http://sora.unm.edu/node/24749,1989,changes,13,"Burt L. Monroe, Jr",Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,Henri Ouellet,J. V. Remsen,Robert W. Storer,,,,,,1944,783
Supplement 38,AOU_6_38,http://sora.unm.edu/node/25030,1991,changes,13,"Burt L. Monroe, Jr",Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,Henri Ouellet,J. V. Remsen,Robert W. Storer,,,,,,1956,783
Supplement 39,AOU_6_39,http://sora.unm.edu/node/25299,1993,changes,13,"Burt L. Monroe, Jr",Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,Henri Ouellet,J. V. Remsen,Robert W. Storer,,,,,,1970,789
Supplement 40,AOU_6_40,http://sora.unm.edu/node/25582,1995,changes,13,"Burt L. Monroe, Jr",Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,Henri Ouellet,J. V. Remsen,Robert W. Storer,,,,,,1996,797
Supplement 41,AOU_6_41,http://sora.unm.edu/node/25836,1997,changes,13,Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,"Burt L. Monroe, Jr",Henri Ouellet,"J. V. Remsen, Jr",Robert W. Storer,,,,,,2031,808
7th Edition,AOU_7,http://www.aou.org/checklist/north/print.php,1998,"list with synonyms, habitat and distribution",13,Richard C. Banks,John W. Fitzpatrick,Thomas R. Howell,Ned K. Johnson,"Burt L. Monroe, Jr",Henri Ouellet,"J. V. Remsen, Jr",Robert W. Storer,,,,,,2032,808
Supplement 42,AOU_7_42,http://sora.unm.edu/node/26283,2000,changes,14,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Henri Ouellet,Pamela C. Rasmussen,"J. V. Remsen, Jr",James A. Rising,Douglas F. Stotz,,,,,2051,815
Supplement 43,AOU_7_43,http://www.bioone.org/doi/abs/10.1642/0004-8038(2002)119%5B0897:FTSTTA%5D2.0.CO%3B2,2002,changes,14.1,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,,,,,,2060,817
Supplement 44,AOU_7_44,http://www.bioone.org/doi/abs/10.1642/0004-8038(2003)120%5B0923%3AFSTTAO%5D2.0.CO%3B2,2003,changes,14.1,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,,,,,,2062,819
Supplement 45,AOU_7_45,http://www.bioone.org/doi/abs/10.1642/0004-8038(2004)121%5B0985:FSTTAO%5D2.0.CO%3B2,2004,changes,14.1,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,,,,,,2071,822
Supplement 46,AOU_7_46,http://www.bioone.org/doi/abs/10.1642/0004-8038(2005)122%5B1026:FSTTAO%5D2.0.CO%3B2,2005,changes,14.1,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,,,,,,2073,821
Supplement 47,AOU_7_47,http://www.bioone.org/doi/abs/10.1642/0004-8038(2006)123%5B926:FSTTAO%5D2.0.CO%3B2,2006,changes,14.1,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,,,,,,2080,826
Supplement 48,AOU_7_48,http://dx.doi.org/10.1642/0004-8038(2007)124%5B1109:FSTTAO%5D2.0.CO;2,2007,changes,14.2,Richard C. Banks,R. Terry Chesser,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,,,,2086,828
Supplement 49,AOU_7_49,http://www.bioone.org/doi/abs/10.1525/auk.2008.9708,2008,changes,14.3,Richard C. Banks,R. Terry Chesser,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,,2095,832
Supplement 50,AOU_7_50,http://www.bioone.org/doi/abs/10.1525/auk.2009.8709,2009,changes,14.4,R. Terry Chesser,Richard C. Banks,F. Keith Barker,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,2104,832
Supplement 51,AOU_7_51,http://www.bioone.org/doi/abs/10.1525/auk.2010.127.3.726,2010,changes,14.4,R. Terry Chesser,Richard C. Banks,F. Keith Barker,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,2124,837
Supplement 52,AOU_7_52,http://www.bioone.org/doi/abs/10.1525/auk.2011.128.3.600,2011,changes,14.4,R. Terry Chesser,Richard C. Banks,F. Keith Barker,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,2135,841
Supplement 53,AOU_7_53,http://www.bioone.org/doi/abs/10.1525/auk.2012.129.3.573?journalCode=tauk,2012,changes,14.4,R. Terry Chesser,Richard C. Banks,F. Keith Barker,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,2141,844
Supplement 54,AOU_7_54,http://www.bioone.org/doi/abs/10.1525/auk.2013.130.3.1,2013,changes,14.4,R. Terry Chesser,Richard C. Banks,F. Keith Barker,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,2152,847
Supplement 55,AOU_7_55,http://www.bioone.org/doi/abs/10.1642/AUK-14-124.1,2014,changes,14.5,R. Terry Chesser,Richard C. Banks,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Adolfo G. Navarro-Sigüenza,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,2170,855
Supplement 56,AOU_7_56,http://www.bioone.org/doi/abs/10.1642/AUK-15-73.1,2015,changes,14.6,R. Terry Chesser,Richard C. Banks,Kevin J. Burns,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Adolfo G. Navarro-Sigüenza,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,2192,859
Supplement 57,AOU_7_57,http://www.bioone.org/doi/10.1642/AUK-16-77.1,2016,changes,14.7,R. Terry Chesser,Kevin J. Burns,Carla Cicero,Jon L. Dunn,Andrew W. Kratter,Irby J. Lovette,Pamela C. Rasmussen,"J. V. Remsen, Jr",James D. Rising,Douglas F. Stotz,Kevin Winker,,,2127,851
